species,temp_diurnal_range,precip_seasonality,soil_pH,solar_radiation
albicans,94,49,47.5150604248047,17809.25
albicans,91,53,47,17502.666015625
albicans,138,80,49,15704.9169921875
albicans,120,72,55,15891.9169921875
albicans,113,78,53,16460.666015625
albicans,133,81,53,15900.3330078125
albicans,137,82,47.8403625488281,14888.1669921875
albicans,131,72,54.1897583007812,14578.5
albicans,144,77,47,15562.25
albicans,140,80,51,14950.3330078125
albicans,111,71,47,16410.833984375
albicans,90,60,43.0391578674316,16180.6669921875
albicans,95,71,54.7801208496094,16275.6669921875
albicans,95,70,55,16220.4169921875
albicans,92,79,49.9939765930176,16587.833984375
albicans,91,85,53,17314.166015625
albicans,85,61,58.3042182922363,16341.4169921875
albicans,120,89,53.725902557373,15726
albicans,115,37,51,17543.75
albicans,97,70,57.1144561767578,17694
albicans,128,41,63.2319259643555,18611.75
albicans,130,50,59.828311920166,18737.833984375
albicans,76,36,NA,19313.583984375
albicans,117,87,54,15402.0830078125
albicans,95,21,42,14554.6669921875
albicans,132,58,57.774097442627,14929.25
albicans,103,54,51.147590637207,15167.9169921875
albicans,135,68,54.9728927612305,14840
albicans,113,55,53,14379.8330078125
albicans,112,59,50.3403625488281,14293.8330078125
albicans,103,79,56.1385536193848,16502.333984375
albicans,120,86,54.2981910705566,15914.6669921875
albicans,126,78,51.9789161682129,14731
albicans,133,76,51.033130645752,14781.1669921875
albicans,104,78,55,16498.583984375
albicans,111,77,55.6686744689941,16478.083984375
albicans,128,75,56,15451.5830078125
albicans,114,77,56.6415672302246,16047.0830078125
albicans,96,76,54.1897583007812,16382
albicans,97,75,54.1837348937988,16345.5
albicans,127,86,55.6415672302246,16153.5830078125
albicans,109,63,60,14394.6669921875
albicans,112,17,56.4849395751953,13266.5830078125
albicans,93,48,51.3313255310059,15218
albicans,126,75,52.524097442627,15978.8330078125
albicans,112,46,48.8795166015625,17094.333984375
albicans,116,66,55,14815.3330078125
albicans,116,67,54,15187.5830078125
albicans,144,79,55.569278717041,16133.9169921875
albicans,82,37,48,18762
albicans,120,52,57,16004
albicans,105,76,56.4186744689941,20345.833984375
albicans,134,76,51,14800.5
albicans,121,79,51.0903625488281,14762.0830078125
albicans,108,75,51,14437.0830078125
albicans,99,54,53,14917.75
albicans,118,63,54.2018089294434,14948.4169921875
albicans,128,52,57.4789161682129,15349.4169921875
albicans,120,79,49,14921.4169921875
albicans,127,67,52.0662651062012,15760.5830078125
albicans,119,70,54.466869354248,15784.25
albicans,88,47,46,18055.083984375
albicans,141,72,47.5271072387695,14701.5
albicans,106,86,58.533130645752,15246.5830078125
albicans,90,67,64,18488.083984375
albicans,123,78,51.9728927612305,14290
albicans,83,48,66.5391540527344,18608.25
albicans,80,43,50.1114463806152,15589
albicans,131,70,52.6837348937988,15375
albicans,98,61,58.3674697875977,18028.833984375
albicans,111,46,49,17324.25
albicans,112,45,44.3644561767578,16272.0830078125
albicans,104,55,55.8644561767578,18225.583984375
albicans,121,77,49,16374.5
