longitude,latitude,domains
-37.4348,-11.2731,AF
-44.274722,-21.875833,AF
-40.600349,-20.389054,AF
-34.944991,-8.175808,out
-44.419566,-22.477181,AF
-35.824225,-9.408531,AF
-37.5,-11.3,AF
-47,-23.269783,AF
-39.254167,-17.215014,AF
-44.110833,-19.98,AF
-45.247141,-23.547916,AF
-43.470181,-22.784918,AF
-35.996433,-9.850758,AF
-36.950873,-10.58368,AF
-43.44164,-20.412972,AF
-45.602016,-22.752333,AF
-35.71633,-8.490026,out
-37.734722,-11.771389,out
-39.569889,-13.742278,AF
-34.873729,-7.93136,out
-39.138,-14.518,AF
-36.313333,-9.623056,AF
-39.703334,-18.42089,AF
-38.985179,-14.291026,AF
-35.017432,-7.945131,AF
-34.998,-7.848583,AF
-40.3378,-20.3194,AF
-39.181667,-17.101111,AF
-47.169767,-22.922308,AF
-39.01555,-14.23,AF
-45.850355,-21.420565,AF
-41.082534,-16.410362,AF
-39.0617,-14.4231,AF
-43.6536102295,-18.6397190094,out
-35.23,-6.08,out
-45.88,-23.1703,AF
-55.320619,-23.118472,AF
-43.2485756,-19.9480039,AF
-47.397904,-22.084451,AF
-44.716135,-21.297508,AF
-42.608521,-22.588381,AF
-35.082511,-6.967619,out
-41.858333,-21.936944,AF
-35.786727,-9.240635,AF
-36.240629,-9.423,AF
-36.351564,-9.220394,out
-39.333333,-14.133333,AF
-40.320206,-19.808468,AF
-39.193063,-14.706123,AF
-39.181026,-16.368949,AF
-40.228617,-19.027089,AF
-39.058982,-14.605634,AF
-38.468992,-12.422998,AF
-39.754444,-17.735278,AF
-39.624694,-13.931667,AF
-36.302306,-9.3375,out
-39.066667,-15.283333,AF
-39.975238,-13.504396,AF
-39.243637,-15.151378,AF
-42.056723,-22.426752,AF
-35.154246,-8.563351,AF
-36.106472,-9.027,out
-40.460436,-20.374888,AF
-35.545237,-8.230664,out
-39.689091,-13.518442,AF
-38.461105,-12.892902,AF
-39.415,-16.867222,AF
-40.57472,-15.26444,AF
-35.178495,-8.059292,AF
-35.247801,-7.412178,out
-39.147222,-16.606389,AF
-48.182916,-18.65077,AF
-43.028557,-22.578562,AF
-42.083333,-22.2,AF
-39.1387939,-16.4206361,AF
-44.870703,-21.963635,AF
-47.484992,-23.39414,AF
-39.062938,-14.852912,AF
-43.045,-18.134722,AF
-43.395556,-19.836667,AF
-44.009913,-20.033023,AF
-47.495325,-23.26965,AF
